film,year,script_type,Rotten_Tomatoes,Metacritic,Average_critics,Rotten_Tomatoes_Audience,Metacritic_Audience,Rotten_Tomatoes_vs_Metacritic_deviance,Average_audience,Audience_vs_Critics_deviance,Genre,Opening_Weekend,Opening_weekend_million,Domestic_Gross,Domestic_gross_million,Foreign_Gross_million,Foreign_Gross,Worldwide_Gross,Worldwide_Gross_million,Prcnt_of_Gross_earned_abroad,Budget_million,Budget_recovered,Budget_recovered_opening_weekend
Life as We Know It,2010,original screenplay,28,39,33.5,62,55,7,58.5,-25,comedy romance,14500000.00,14.5,53130000.00,53.13,43.03,43030000,96160000,96.16,44.75,52.274,183.95,27.74
From Paris with Love,2010,original screenplay,38,42,40,57,66,-9,61.5,-21.5,action crime thriller,8200000.00,8.2,24080000.00,24.08,28.75,28750000,52830000,52.83,54.42,52,101.6,15.77
Valentine's Day,2010,original screenplay,17,34,25.5,54,50,4,52,-26.5,comedy romance,56200000.00,56.2,110490000.00,110.49,106,106000000,216490000,216.49,48.96,52,416.33,108.08
Marmaduke,2010,adaptation,9,30,19.5,46,49,-3,47.5,-28,comedy family,11600000.00,11.6,33640000.00,33.64,50.12,50120000,83760000,83.76,59.84,50,167.52,23.2
The Social Network,2010,based on a true story,96,95,95.5,89,82,7,85.5,10,biography,22400000.00,22.4,96960000.00,96.96,127.96,127960000,224920000,224.92,56.89,50,449.84,44.8
Due Date,2010,original screenplay,40,51,45.5,56,63,-7,59.5,-14,comedy,32690000.00,32.69,100540000.00,100.54,111.24,111240000,211780000,211.78,52.53,50,423.56,65.38
Tooth Fairy,2010,original screenplay,16,36,26,46,50,-4,48,-22,comedy family fantasy,14000000.00,14,60020000.00,60.02,52.44,52440000,112460000,112.46,46.63,48,234.29,29.17
Jonah Hex,2010,adaptation,13,33,23,24,46,-22,35,-12,action fantasy ,5400000.00,5.4,10550000.00,10.55,0.36,360000,10910000,10.91,3.3,47,23.21,11.49
The Ghost Writer,2010,adaptation,83,77,80,68,73,-5,70.5,9.5,mystery thriller,2000000.00,2,15540000.00,15.54,44.68,44680000,60220000,60.22,74.19,45,133.82,4.44
Charlie St. Cloud,2010,adaptation,27,37,32,62,48,14,55,-23,fantasy romance,12400000.00,12.4,31160000.00,31.16,17.03,17030000,48190000,48.19,35.34,44,109.52,28.18
The Spy Next Door,2010,original screenplay,13,27,20,46,47,-1,46.5,-26.5,action comedy family,9700000.00,9.7,24310000.00,24.31,20.93,20930000,45240000,45.24,46.26,43,105.21,22.56
